ala_search_term,common_name,assess,vic_taxon_id,taxon_concept_id,delwp_taxon,delwp_common_name,taxon_level,sort,split,category,group,nc_raw_ala,Ne_adjust,DBSCAN_MinPts,n_raw_vic,pc_raw_vic,n_filtered,pc_recs_filt,n_filt_vic,pc_filt_vic,n_states,n_ibra7,n_nrm2017,n_subsp,n_sci_nm,cons_status,total_aust_popn_size,australia_distrib,popn_separation,vic_popn_trend,dispersal_capacity,dispersing_sex,fire_survival,fire_rating,male_disp,fem_disp,epsilon, vic_popn_size ,disperse_model,resist_model_type,guild,sub_guild,dispersal_conf,dispersal_method,reproduce_mode,ave_gen_time,gen_time_group,hybrid_risk,r_or_k_strat,mtdna,micro_sats,snps,genetic_misc,allozyme,any_genetic_data,Gen_data_main,WoS_hits_July19,popn_structure,inbreed_evidence,genetic_diversity,reduced_ne,data_quality_issues,genetic_data_utility,locally_adapted,rescue_potential,re_establish_potential,future_impacts,provenance_potential,diversity_potential,outbreed_risk,gen_data_priority,case_study,alt_latin_names,victorian_sub-species,other_alt_common,delwp_alt_common,attrib_data,assessed_1,maturity,longevity,fire,soil_seed,pollen_disp,w_logged,Woody,seeds_disp,useful_gen_data,vic_presence,vic_adv_status,epbc,ffg_act,class,superorder,order,family
Senecio spathulatus,Coast Groundsel,ALA,503975,https://id.biodiversity.org.au/node/apni/2915236,Senecio spathulatus s.l.,Dune Groundsel,Base,3517,Daisy,Plants,Daisies,637,0.1,3,318,49.9%,390,61.2%,221,56.67%,3,11,13,3,4,ncs,,,,,,,Fire_NK,5,6.3,6.3,6.3,4771,Distance,HIM_limited,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Senecio spathulatus, Senecio lautus ssp. maritimus p.p., Senecio spathulatus s.l., Senecio lautus subsp. maritimus p.p.",,,"Coast Groundsel, Dune Groundsel",Data,No,Mat<1,Long50-500,Fire_NK,Seed>2,Poll_Apis,not,No,Wind,,present,,,,Magnoliopsida,Asteranae,Asterales,Asteraceae
Senecio squarrosus,Leafy Fireweed,ALA,503128,https://id.biodiversity.org.au/node/apni/2921048,Senecio squarrosus s.l.,Leafy Fireweed,Base,3518,Daisy,Plants,Daisies,774,0.1,3,383,49.5%,629,81.3%,294,46.74%,4,20,18,0,1,ncs,,,,,,,Fire_NK,5,6.3,6.3,6.3,5753,Distance,Generic,No guild,,,,,,,,,,,,,,No,,1,,,,,,,,,,,,,,,,"Senecio squarrosus, Erechthites hispidula, Senecio squarrosus s.l.",,,"Groundsel, Squarrose Fireweed, Leafy Fireweed",Data,No,Mat<1,Long10-50,Fire_NK,Seed>2,Poll_Apis,WL 1-6,No,Wind,sister,present,,,,Magnoliopsida,Asteranae,Asterales,Asteraceae
Senecio vagus,Saw Groundsel,ALA,503130,https://id.biodiversity.org.au/node/apni/2914010,Senecio vagus subsp. vagus,Saw Groundsel,Base,3519,Daisy,Plants,Daisies,771,0.1,3,279,36.2%,514,66.7%,180,35.02%,3,12,17,2,3,ncs,,,,,,,Fire_K,3,6.3,6.3,6.3,4398,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Senecio vagus, Senecio vagus var. alpestris, Senecio vagus subsp. vagus, Senecio vagus ssp. vagus",,,,Data,No,Mat<1,Long1-10,Fire_K,Seed>2,Poll_Apis,not,No,Wind,,present,,,,Magnoliopsida,Asteranae,Asterales,Asteraceae
Senecio velleioides,Forest Groundsel,ALA,503131,https://id.biodiversity.org.au/node/apni/2901330,Senecio velleioides,Forest Groundsel,Base,3520,Daisy,Plants,Daisies,2032,0.1,3,1275,62.7%,1615,79.5%,1042,64.52%,3,20,20,0,1,ncs,,,,,,,Fire_K,3,6.3,6.3,6.3,18607,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,,Data,No,Mat<1,Long1-10,Fire_K,Seed>2,Poll_Apis,not,No,Wind,,present,,,,Magnoliopsida,Asteranae,Asterales,Asteraceae
Senna aciphylla,Sprawling Cassia,ALA,500662,https://id.biodiversity.org.au/node/apni/8451159,Senna aciphylla,Sprawling Cassia,Base,3521,Fabs,Plants,Legume,691,0.1,3,118,17.1%,429,62.1%,73,17.02%,4,14,19,0,1,r,,,,,,,Fire_K,3,6.3,15.8,15.8,2225,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Cassia revoluta, Cassia australis var. revoluta, Cassia aciphylla, Senna aciphylla",,,,Data,No,Mat1-5,Long10-50,Fire_K,Seed>2,Poll_Apis,not,Yes,Bird_ext,,present,Rare,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Senna artemisioides,Silver Cassia,ALA,500664,https://id.biodiversity.org.au/taxon/apni/51285233,Senna artemisioides s.l.,Desert Cassia,Base,3522,Fabs,Plants,Legume,25256,0.1,3,1267,5.0%,16488,65.3%,948,5.75%,7,64,44,12,13,e,"> 10,000",Minor in Vic,Historical,unsure,High +,,Fire_K,3,6.3,15.8,15.8,41727,Distance,Limited,No guild,,,Birds,Mixed,Perennial,mid,,r,No,No,No,Allozyme,Yes,Yes,Limited,1,Moderate,High,Low,Data def,Multiple,Limited,Possible,Uncertain,Low,Fire,Yes,Yes,Relevant,Low,,"Senna artemisioides spp. agg., Senna artemisioides s.l., Cassia nemophila, Senna artemisioides","artemisioides, coriacea, filifolia, petiolaris, zygophylla",Silver Senna,,Data,Yes,Mat1-5,Long10-50,Fire_K,Seed>2,Poll_Apis,not,Yes,Bird_ext,OLD,present,,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Sesbania cannabina,Yellow Pea-bush,ALA,505452,https://id.biodiversity.org.au/taxon/apni/51285723,Sesbania cannabina var. cannabina,Yellow Pea-bush,Base,3523,Fabs,Plants,Legume,2049,0.1,3,8,0.4%,1218,59.4%,3,0.25%,6,47,29,2,3,ncs,,,,,,,Fire_K,3,6.3,2.5,6.3,2153,Distance,Limited,No guild,,,,,,,,,,,,,,No,,8,,,,,,,,,,,,,,,,"Aeschynomene cannabina, Sesbania Pea, Sesbania cannabina var. cannabina, Sesbania aculeata",,,"Yellow Pea-bush, Danchi, Dhaircha, Pea Bush, Nardoo",Data,No,Mat<1,Long<1,Fire_K,Seed>2,Poll_Apis,WL 1-6,No,Water,none,present,VU,,,Magnoliopsida,Rosanae,Fabales,Fabaceae
Sicyos australis,Star Cucumber,ALA,503139,https://id.biodiversity.org.au/node/apni/2893741,Sicyos australis,Star Cucumber,Base,3524,OFam2,Plants,Other family,673,0.1,3,49,7.3%,369,54.8%,23,6.23%,5,14,19,0,1,v,,,,,,,Fire_K,3,6.3,40,40.0,1310,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Sicyos angulata, Sicyos australis, Sicyos fretensis",,,,Data,No,Mat<1,Long1-10,Fire_K,Seed>2,Poll_Apis,not,No,Bird_int,,present,VU,,,Magnoliopsida,Rosanae,Cucurbitales,Cucurbitaceae
Sida ammophila,Sand Sida,ALA,503140,https://id.biodiversity.org.au/node/apni/2894216,Sida ammophila,Sand Sida,Base,3525,OFam3,Plants,Other family,1980,0.1,3,108,5.5%,1474,74.4%,82,5.56%,6,36,18,0,1,v,"> 10,000",Minor in Vic,Recent,down,Very Low,,Fire_NK,5,6.3,1.58,6.3,3384,Distance,Species,No guild,,,Insects,Sexual,Perennial,mid,,r,No,No,No,None,No,No,,0,,,,,,,Possible,Low,Medium,Multiple,Yes,Uncertain,Not Expected,Medium,,,,,,Data,Yes,Mat1-5,Long10-50,Fire_NK,Seed>2,Poll_Apis,not,No,insect,,present,VU,,,Magnoliopsida,Rosanae,Malvales,Malvaceae
Sida corrugata,Variable Sida,ALA,503141,https://id.biodiversity.org.au/node/apni/2904624,Sida corrugata,Variable Sida,Base,3526,OFam3,Plants,Other family,11518,0.1,3,2221,19.3%,9643,83.7%,1842,19.10%,7,42,41,0,1,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,40391,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,"Variable Sida, Sage Weed, Corrugated Sida",Data,No,Mat1-5,Long>500,Fire_NK,Seed>2,Poll_Apis,WL 1-6,No,insect,,present,,,,Magnoliopsida,Rosanae,Malvales,Malvaceae
Sida fibulifera,Pin Sida,ALA,503142,https://id.biodiversity.org.au/node/apni/2920093,Sida fibulifera,Pin Sida,Base,3527,OFam3,Plants,Other family,5958,0.1,3,130,2.2%,3976,66.7%,94,2.36%,6,47,25,0,1,v,,,,,,,Fire_NK,5,6.3,1.58,6.3,7648,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Sida fibulifera, Sida corrugata var. ovata, Sida nematopoda, Sida corrugata var. nematopoda, Sida pedunculata",,,"Pin Sida, Silver Sida",Data,No,Mat1-5,Long10-50,Fire_NK,Seed>2,Poll_Apis,WL 1-6,Yes,insect,,present,VU,,,Magnoliopsida,Rosanae,Malvales,Malvaceae
Sida intricata,Twiggy Sida,ALA,503143,https://id.biodiversity.org.au/node/apni/2905542,Sida intricata,Twiggy Sida,Base,3528,OFam3,Plants,Other family,1886,0.1,3,193,10.2%,1473,78.1%,154,10.46%,6,33,22,0,1,v,,,,,,,Fire_NK,5,6.3,1.58,6.3,4395,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Sida intricata, Sida corrugata var. intricata",,,"Twiggy Sida, Neverfail, Tangled Sida",Data,No,Mat1-5,Long10-50,Fire_NK,Seed>2,Poll_Apis,WL 1-6,No,insect,,present,VU,,,Magnoliopsida,Rosanae,Malvales,Malvaceae
Sida spodochroma,Limestone Sida,ALA,503146,https://id.biodiversity.org.au/node/apni/2896430,Sida spodochroma,Limestone Sida,Base,3529,OFam3,Plants,Other family,378,0.1,3,58,15.3%,299,79.1%,34,11.37%,4,15,11,0,1,v,"> 10,000",Minor in Vic,Recent,unsure,Very Low,,Fire_NK,5,6.3,1.58,6.3,1132,Distance,Species,No guild,,,Insects,Uncertain,6 - 10 yr,mid,,r,No,No,No,None,No,No,,0,,,,,,,Possible,Uncertain,Uncertain,Invasives,No,Uncertain,Not Expected,Secondary,,"Sida corrugata var. A sensu Barker, Sida spodochroma, Sida sp. C (aff. corrugata)",,,"Prostrate Sida, Limestone Sida",Data,Yes,Mat1-5,Long10-50,Fire_NK,Seed>2,Poll_Apis,not,Yes,insect,,present,VU,,Listed,Magnoliopsida,Rosanae,Malvales,Malvaceae
Sida trichopoda,Narrow-leaf Sida,ALA,503147,https://id.biodiversity.org.au/node/apni/2904682,Sida trichopoda,Narrow-leaf Sida,Base,3530,OFam3,Plants,Other family,4625,0.1,3,226,4.9%,3203,69.3%,137,4.28%,6,34,26,0,1,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,7563,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Sida corrugata var. trichopoda, Sida trichopoda",,,,Data,No,Mat1-5,Long10-50,Fire_NK,Seed>2,Poll_Apis,not,No,insect,,present,,,,Magnoliopsida,Rosanae,Malvales,Malvaceae
Sigesbeckia australiensis,Cobber Weed,ALA,503978,https://id.biodiversity.org.au/node/apni/2905681,Sigesbeckia australiensis,Cobber Weed,Base,3531,Daisy,Plants,Daisies,2268,0.1,3,187,8.2%,1858,81.9%,142,7.64%,7,31,30,2,3,ncs,,,,,,,Fire_K,3,6.3,6.3,6.3,4699,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Sigesbeckia australiensis, Sigesbeckia microcephala",,,"Cobber Weed, Pale Indian Weed",Data,No,Mat<1,Long<1,Fire_K,Seed>2,Poll_Apis,not,No,Mam_ext,,present,,,,Magnoliopsida,Asteranae,Asterales,Asteraceae
Sigesbeckia orientalis,Indian Weed,ALA,503149,https://id.biodiversity.org.au/node/apni/2920819,Sigesbeckia orientalis subsp. orientalis,Indian Weed,Base,3532,Daisy,Plants,Daisies,9628,0.1,3,2598,27.0%,7418,77.0%,1298,17.50%,8,41,44,0,1,ncs,,,,,,,Fire_K,3,6.3,6.3,6.3,43402,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Sigesbeckia microcephala, Sigesbeckia orientalis, Sigesbeckia orientalis ssp. orientalis, Sigesbeckia orientalis subsp. orientalis",,,,Data,No,Mat<1,Long<1,Fire_K,Seed>2,Poll_Apis,not,No,Mam_ext,,present,,,,Magnoliopsida,Asteranae,Asterales,Asteraceae
Siloxerus multiflorus,Small Wrinklewort,ALA,502983,https://id.biodiversity.org.au/node/apni/2904104,Siloxerus multiflorus,Small Wrinklewort,Base,3533,Daisy,Plants,Daisies,2080,0.1,3,975,46.9%,1677,80.6%,808,48.18%,6,27,31,0,1,ncs,,,,,,,Fire_K,3,6.3,6.3,6.3,14755,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Siloxerus multiflorus, Rutidosis multiflora",,,,Data,No,Mat<1,Long<1,Fire_K,Seed>2,Poll_Apis,WL < 1,No,Wind,,present,,,,Magnoliopsida,Asteranae,Asterales,Asteraceae
Smilax australis,Sweet Sarsaparilla,ALA,503166,https://id.biodiversity.org.au/node/apni/2902974,Smilax australis,Austral Sarsaparilla,Base,3534,OFam4,Plants,Other family,17153,0.1,3,2525,14.7%,14357,83.7%,2033,14.16%,6,29,27,0,1,ncs,,,,,,,Fire_NK,5,6.3,40,40.0,49978,Distance,Generic,No guild,,,,,,,,,,,,,,No,,1,,,,,,,,,,,,,,,,,,,"Austral Sarsaparilla, Sweet Sarsaparilla, Lawyer Vine",Data,No,Mat5-20,Long>500,Fire_NK,Seed>2,Poll_Apis,not,No,Bird_int,none,present,,,,Magnoliopsida,Lilianae,Liliales,Smilacaceae
Solanum aviculare,Kangaroo Apple,ALA,503169,https://id.biodiversity.org.au/node/apni/2900613,Solanum aviculare,Kangaroo Apple,Base,3535,OFam4,Plants,Other family,3232,0.1,3,1337,41.4%,2253,69.7%,1170,51.93%,7,29,39,1,2,ncs,"> 10,000",Widespread,Recent,okay,High +,,Fire_K,3,6.3,40,40.0,20613,Distance,Generic,No guild,,,Birds,Sexual,Perennial,mid,,r,No,No,No,None,No,No,,0,,,,,,,Possible,Redundant,Low,Not expected,No,No,Not Expected,Low,,,,,"Poroporo (Maori name), Gunyang, Kangaroo Apple",Data,Yes,Mat1-5,Long1-10,Fire_K,Seed>2,Poll_Apis,WL < 1,Yes,Bird_int,none,present,,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum coactiliferum,Western Nightshade,ALA,503173,https://id.biodiversity.org.au/node/apni/2910895,Solanum coactiliferum,Western Nightshade,Base,3536,OFam4,Plants,Other family,1495,0.1,3,9,0.6%,1054,70.5%,1,0.10%,6,30,17,0,1,e,,,,,,,Fire_NK,5,6.3,40,40.0,1612,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,"Potato Bush, Western Nightshade, Tomato Bush, Felted Nightshade",Data,No,Mat1-5,Long10-50,Fire_NK,Seed>2,Poll_Apis,not,Yes,Bird_int,,present,EN,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum esuriale,Quena,ALA,503176,https://id.biodiversity.org.au/node/apni/2893390,Solanum esuriale,Quena,Base,3537,OFam4,Plants,Other family,6542,0.1,3,836,12.8%,5003,76.5%,562,11.23%,6,42,31,0,1,ncs,,,,,,,Fire_NK,5,6.3,40,40.0,17410,Distance,Generic,No guild,,,,,,,,,,,,,,No,,1,,,,,,,,,,,,,,,,,,,"Potato Bush, Oondoroo, Comyn, Quena, Tomato Plant, Tomato Weed",Data,No,Mat1-5,Long10-50,Fire_NK,Seed>2,Poll_Apis,WL 1-6,No,Bird_int,phylo,present,,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum laciniatum,Large Kangaroo-apple,ALA,503179,https://id.biodiversity.org.au/node/apni/2910541,Solanum laciniatum,Large Kangaroo Apple,Base,3538,OFam4,Plants,Other family,3000,0.1,3,1967,65.6%,2356,78.5%,1684,71.48%,6,34,33,0,1,ncs,,,,,,,Fire_K,3,6.3,40,40.0,28571,Distance,Generic,No guild,,,,,,,,,,,,,,No,,5,,,,,,,,,,,,,,,,,,,"Large-flower Kangaroo Apple, Large Kangaroo Apple",Data,No,Mat1-5,Long1-10,Fire_K,Seed>2,Poll_Apis,WL < 1,Yes,Bird_int,markers,present,,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum lacunarium,Lagoon Nightshade,ALA,503180,https://id.biodiversity.org.au/node/apni/2905651,Solanum lacunarium,Lagoon Nightshade,Base,3539,OFam4,Plants,Other family,289,0.1,3,90,31.1%,157,54.3%,54,34.40%,3,15,11,0,1,v,,,,,,,Fire_K,3,6.3,40,40.0,1459,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,"Lagoon Nightshade, Desert Nightshade",Data,No,Mat1-5,Long1-10,Fire_K,Seed>2,Poll_Apis,not,No,Bird_int,,present,VU,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum linearifolium,Mountain Kangaroo-apple,ALA,503181,https://id.biodiversity.org.au/node/apni/2893304,Solanum linearifolium,Mountain Kangaroo Apple,Base,3540,OFam4,Plants,Other family,549,0.1,3,73,13.3%,346,63.0%,45,13.01%,6,14,20,0,1,r,,,,,,,Fire_K,3,6.3,40,40.0,1498,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,,Data,No,Mat1-5,Long1-10,Fire_K,Seed>2,Poll_Apis,not,Yes,Bird_int,,present,Rare,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum opacum,Dark Nightshade,ALA,503184,https://id.biodiversity.org.au/node/apni/2898773,Solanum opacum,Green-berry Nightshade,Base,3541,OFam4,Plants,Other family,934,0.1,3,152,16.3%,656,70.2%,116,17.68%,5,23,29,0,1,ncs,,,,,,,Fire_K,3,6.3,40,40.0,2910,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Solanum nigrum var. chlorocarpum, Solanum opacum",,,"Dark Nightshade, Green-berry Nightshade",Data,No,Mat<1,Long<1,Fire_K,Seed>2,Poll_Apis,not,No,Bird_int,,present,,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum prinophyllum,Forest Nightshade,ALA,503186,https://id.biodiversity.org.au/node/apni/2899243,Solanum prinophyllum,Forest Nightshade,Base,3542,OFam4,Plants,Other family,5795,0.1,3,1197,20.7%,5174,89.3%,1031,19.93%,4,14,18,0,1,ncs,,,,,,,Fire_K,3,6.3,40,40.0,21356,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Solanum armatum, Solanum xanthocarpum, Solanum prinophyllum",,,,Data,No,Mat1-5,Long1-10,Fire_K,Seed>2,Poll_Apis,not,No,Bird_int,,present,,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum pungetium,Eastern Nightshade,ALA,503188,https://id.biodiversity.org.au/node/apni/2918198,Solanum pungetium,Eastern Nightshade,Base,3543,OFam4,Plants,Other family,1901,0.1,3,231,12.2%,1633,85.9%,181,11.08%,3,9,9,0,1,ncs,"> 10,000",Vic + 1 state,None,okay,High +,,Fire_K,3,6.3,40,40.0,4904,Distance,Generic,No guild,,,Birds,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,,,,,,,Possible,Redundant,Low,Not expected,Uncertain,No,Not Expected,Low,,,,,,Data,Yes,Mat1-5,Long1-10,Fire_K,Seed>2,Poll_Apis,not,No,Bird_int,,present,,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum silvestre,Violet Nightshade,ALA,503170,https://id.biodiversity.org.au/node/apni/2897586,Solanum silvestre,Violet Nightshade,Base,3544,OFam4,Plants,Other family,190,0.1,3,22,11.6%,126,66.3%,7,5.56%,2,4,4,0,1,e,,,,,,,Fire_K,3,6.3,40,40.0,476,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Solanum curvicuspe misapplied, Solanum silvestre, Solanum brownii, Solanum violaceum",,,,Data,No,Mat1-5,Long1-10,Fire_K,Seed>2,Poll_Apis,not,Yes,Bird_int,,present,EN,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum simile,Oondoroo,ALA,503191,https://id.biodiversity.org.au/node/apni/2910282,Solanum simile,Oondoroo,Base,3545,OFam4,Plants,Other family,1082,0.1,3,331,30.6%,614,56.7%,243,39.58%,4,24,28,0,1,ncs,,,,,,,Fire_K,3,6.3,40,40.0,5385,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,"Kangaroo Apple, Oondooroo, Oondoroo",Data,No,Mat1-5,Long1-10,Fire_K,Seed>2,Poll_Apis,not,Yes,Bird_int,,present,,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solanum vescum,Gunyang,ALA,503193,https://id.biodiversity.org.au/node/apni/8494988,Solanum vescum,Gunyang,Base,3546,OFam4,Plants,Other family,1030,0.1,3,299,29.0%,596,57.9%,217,36.41%,5,21,23,0,1,ncs,,,,,,,Fire_K,3,6.3,40,40.0,4917,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,"Gunyang, Kangaroo Apple",Data,No,Mat1-5,Long1-10,Fire_K,Seed>2,Poll_Apis,WL < 1,Yes,Bird_int,,present,,,,Magnoliopsida,Asteranae,Solanales,Solanaceae
Solenogyne dominii,Smooth Solenogyne,ALA,503195,https://id.biodiversity.org.au/node/apni/2899636,Solenogyne dominii,Smooth Solenogyne,Base,3547,Daisy,Plants,Daisies,4684,0.1,3,2205,47.1%,4100,87.5%,1951,47.59%,5,26,27,0,1,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,33349,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,"Smooth Solenogyne, Solenogyne",Data,No,Mat<1,Long1-10,Fire_NK,Seed<2,Poll_Apis,WL < 1,No,insect,,present,,,,Magnoliopsida,Asteranae,Asterales,Asteraceae
Solenogyne gunnii,Hairy Solenogyne,ALA,503196,https://id.biodiversity.org.au/node/apni/2915327,Solenogyne gunnii,Hairy Solenogyne,Base,3548,Daisy,Plants,Daisies,2426,0.1,3,722,29.8%,2106,86.8%,543,25.78%,4,24,22,0,1,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,11812,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Lagenifera gunnii, Solenogyne gunnii, Solenogyne bellioides var. gunnii, Lagenophora gunnii, Solenogyne belloides var. gunnii, Emphysopus gunnii",,,,Data,No,Mat<1,Long1-10,Fire_NK,Seed<2,Poll_Apis,WL < 1,No,insect,,present,,,,Magnoliopsida,Asteranae,Asterales,Asteraceae
Sorghum leiocladum,Wild Sorghum,ALA,503206,https://id.biodiversity.org.au/node/apni/2909099,Sorghum leiocladum,Wild Sorghum,Base,3549,Grass,Plants,Grasses,3567,0.1,3,34,1.0%,2575,72.2%,22,0.85%,4,17,23,0,1,v,,,,,,,Fire_NK,5,10,6.3,10.0,4009,Distance,HIM_species,No guild,,,,,,,,,,,,,,No,,2,,,,,,,,,,,,,,,,"Andropogon australis subsp. leiocladus, Andropogon australis ssp. leiocladus, Andropogon australis var. leiocladus, Sorghum leiocladum, Sorghum plumosum var. leiocladum, Sarga leioclada, Sarga leiocladum",,,,Data,No,Mat1-5,Long10-50,Fire_NK,Seed>2,Poll_abiotic,not,No,Mam_ext,phylo,present,VU,,,Magnoliopsida,Lilianae,Poales,Poaceae
Sowerbaea juncea,Rush Lily,ALA,503207,https://id.biodiversity.org.au/node/apni/8196909,Sowerbaea juncea,Rush Lily,Base,3550,OFam1,Plants,Other family,1860,0.1,3,251,13.5%,1071,57.6%,190,17.74%,5,10,13,0,1,r,,,,,,,Fire_NK,5,6.3,0.4,6.3,5123,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,,,,,Data,No,Mat1-5,Long10-50,Fire_NK,Seed<2,Poll_Apis,WL 1-6,No,Passive,,present,Rare,,,Magnoliopsida,Lilianae,Asparagales,Asparagaceae
Sparganium subglobosum,Floating Bur-reed,ALA,503210,https://id.biodiversity.org.au/node/apni/2889354,Sparganium subglobosum,Floating Bur-reed,Base,3551,OFam4,Plants,Other family,543,0.1,3,58,10.7%,304,56.0%,33,10.86%,4,14,21,0,1,k,,,,,,,Fire_NK,5,10,15.8,15.8,1297,Distance,Species,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Sparganium subglobosum, Sparganium angustifolium var. latifolium, Sparganium antipodum",,,,Data,No,Mat<1,Long>500,Fire_NK,Seed>2,Poll_abiotic,Aquatic,No,Bird_ext,,present,Poor,,,Magnoliopsida,Lilianae,Poales,Typhaceae
Speculantha parviflora,Tiny Greenhood,ALA,502808,https://id.biodiversity.org.au/name/apni/179367,Pterostylis parviflora s.l.,Tiny Greenhood,Base,3552,Orchid,Plants,Orchids,155,0.1,3,43,27.7%,93,60.0%,22,23.66%,5,17,19,0,1,ncs,,,,,,,Fire_NK,5,4,6.3,6.3,714,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,"Pterostylis parviflora, Pterostylis parviflora s.l.",,,,Data,No,Mat1-5,Long10-50,Fire_NK,Seed<2,Poll_invert,not,No,Wind,,present,,,,Magnoliopsida,Lilianae,Asparagales,Orchidaceae
Spergularia brevifolia,Salt Sea-spurrey,ALA,505327,https://id.biodiversity.org.au/node/apni/2911314,Spergularia brevifolia,Salt Sea-spurrey,Base,3553,OFam2,Plants,Other family,1009,0.1,3,474,47.0%,656,65.0%,281,42.84%,6,25,33,0,1,ncs,,,,,,,Fire_NK,5,6.3,1.58,6.3,7171,Distance,Generic,No guild,,,,,,,,,,,,,,No,,0,,,,,,,,,,,,,,,,Spergularia sp. 3,,,,Data,No,Mat<1,Long1-10,Fire_NK,Seed>2,Poll_Apis,WL 1-6,No,insect,,present,,,,Magnoliopsida,Caryophyllanae,Caryophyllales,Caryophyllaceae
Spergularia marina,Lesser Sea-spurrey,ALA,503217,https://id.biodiversity.org.au/taxon/apni/51270292,Spergularia marina s.l.,Salt Sand-spurrey,Base,3554,OFam2,Plants,Other family,1381,0.1,3,198,14.3%,1050,76.0%,128,12.19%,7,42,43,0,1,ncs,"> 10,000",Widespread,Both,okay,Modest,,Fire_K,3,6.3,1.58,6.3,3955,Distance,Generic,No guild,,,Insects,Sexual,Perennial,mid,,r,No,Yes,No,None,No,Yes,Biology,16,,,,,,,Possible,Redundant,High,Not expected,Uncertain,No,Not Expected,Low,,"Arenaria rubra var. marina, Spergularia salina, Spergularia marina, Spergularia marina s.l.",,,,Data,Yes,Mat<1,Long1-10,Fire_K,Seed>2,Poll_Apis,WL > 6,No,insect,biology,present,,,,Magnoliopsida,Caryophyllanae,Caryophyllales,Caryophyllaceae
